MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
XIHXAP,-44.98516,-74.9683,-22.35882,-29.98314
XIHXET,-47.30088,-77.30492,-25.08418,-29.99986
TIQGEG01,-44.4334,-74.45416,-19.72542,-30.02076
FELWOK,-41.31094,-71.34424,-17.48494,-30.0333
KEXKAB,-42.66108,-72.72782,-24.38612,-30.07092
ECEDAU,-55.24288,-85.36396,-37.04734,-30.12526
FOVPOX,-34.694,-64.82762,-19.11932,-30.12944
EZITUE,-40.31192,-70.44972,-19.88426,-30.14198
HIYBEY,-35.32936,-65.47134,-21.07138,-30.14198
MOTMAK,-42.85336,-72.99952,-21.81124,-30.14198
OKITAE,-51.01272,-81.20904,-26.99026,-30.19632
LIBJAJ,-54.23968,-84.48616,-18.75566,-30.24648
HAFVOB,-46.51086,-76.7657,-22.29612,-30.25902
DUKMON,-38.19266,-68.48094,-25.707,-30.28828
FOHCAH,-51.98248,-82.28748,-22.5929,-30.305
HIYMEJ,-54.63678,-84.96268,-21.92828,-30.3259
WOPHIU,-36.98464,-67.31054,-21.76526,-30.3259
NOJMOP,-21.30964,-51.67316,-14.16602,-30.36352
AZAFIS,-43.7228,-74.1114,-23.02344,-30.3886
FIPXEJ,-41.11866,-71.59504,-24.92116,-30.47638
RORRIB,-73.07058,-103.6013,-45.06876,-30.53072
EKIJEP01,-39.3338,-69.93976,-18.74312,-30.60178
HAFWIW,-32.21944,-62.86302,-15.47018,-30.64358
MOYNIY,-59.7322,-90.37996,-25.41858,-30.65194
MATVIN,-42.1135,-72.7738,-26.59316,-30.6603
FELVID,-41.32766,-72.02976,-16.44412,-30.7021
LIXDAZ,-60.32576,-91.02786,-36.8049,-30.7021
EMOHIZ,-39.919,-70.64618,-23.3871,-30.72718
MOBBEM,-50.39826,-81.14634,-26.20442,-30.74808
FIPJAR,-45.2067,-75.98404,-21.71092,-30.77734
ASEJOZ,-57.266,-88.06006,-23.67134,-30.79406
BUSGIG,-29.4481,-60.30068,-22.60544,-30.85258
PEGCIP,-40.76336,-71.6243,-21.13408,-30.86094
NOKPEJ,-52.63874,-83.53312,-31.4336,-30.89438
EZIVAM,-36.23642,-67.16842,-20.15178,-30.93618
LUMLIQ,-45.65814,-76.6194,-25.39768,-30.95708
JALPAQ,-27.59218,-58.6036,-19.42446,-31.01142
NIMTEJ,-31.96864,-62.9926,-10.15322,-31.02396
OQERUY,-34.02102,-65.09932,-21.42668,-31.0783
POSFOU,-42.52732,-73.6098,-22.95238,-31.08666
WEFDAO,-31.4336,-62.54952,-23.73822,-31.11592
BEXTUV,-46.1681,-77.30074,-23.70478,-31.13264
QQQGTA02,-51.48088,-82.6804,-36.8467,-31.19952
APAYIB,-41.81672,-73.02878,-19.97204,-31.21206
EQEROJ,-40.1907,-71.4153,-22.86878,-31.2246
WOWHAR,-52.82266,-84.09742,-36.19044,-31.27476
COWREN,-56.5972,-87.91376,-28.26098,-31.31238
OFUFUR,-41.30258,-72.61914,-22.88132,-31.31656
DENKOX,-18.14956,-49.50374,1.96878,-31.35
KONFEA,-57.2033,-88.59928,-24.42374,-31.39598
YUSWIU,-38.13832,-69.54266,-16.96662,-31.40434
ASIRUR,-42.41028,-73.83134,-21.13408,-31.42106
AJUNOK,-38.79876,-70.2449,-22.71412,-31.44614
GELVEZ01,-45.71666,-77.20042,-42.66526,-31.48376
DODHUA,-42.62346,-74.11976,-25.498,-31.4963
IDAZEU,-74.68406,-106.18454,-68.3221,-31.4963
MUPYIG,-55.66088,-87.16972,-29.70308,-31.50884
UZANOZ,-44.36652,-75.90044,-25.6861,-31.53392
AZOHEC,-36.72966,-68.343,-20.78296,-31.61334
FOVPUD,-33.31042,-64.9363,-19.47462,-31.62588
AYAWEE,-44.52954,-76.1596,-26.3758,-31.63006
KOHSOR,-43.38004,-75.04354,-21.51864,-31.66768
MULQOA,-40.84278,-72.51046,-18.70968,-31.66768
ELAZEX,-54.8207,-86.49256,-24.8919,-31.67186
HEDTER,-40.0653,-71.77896,-22.63888,-31.71366
ISIKOL,-31.23714,-63.00096,-8.6735,-31.76382
ZIJVAR,-46.20154,-77.99044,-24.10606,-31.7889
ELOZEK,-17.48076,-49.28638,-10.44582,-31.8098
JUSKAL,-41.97974,-73.8188,-18.50486,-31.83906
ZEZPIF,-46.13466,-77.9779,-22.89386,-31.84324
GELVEZ02,-53.1069,-85.00448,-27.80954,-31.8934
NIFTIH,-47.9237,-79.85472,-24.19802,-31.92684
MONFEC,-48.60086,-80.53606,-21.4852,-31.9352
CEGWER,-55.45606,-87.39962,-24.30252,-31.94356
WUFSAT,-41.47814,-73.45932,-22.45078,-31.98118
MOCHOC,-38.6232,-70.61274,-18.31258,-31.98954
FONQIJ,-43.68518,-75.68308,-22.10802,-32.00208
PUZKUS,-45.66232,-77.6644,-22.6765,-32.00208
OVIQER,-30.27156,-62.282,-11.69982,-32.01044
MOMRIR,-42.42282,-74.43744,-29.98732,-32.01462
CELZEA,-63.89966,-95.94354,-41.96302,-32.04388
DUYVEA,-50.48604,-82.55918,-23.99738,-32.07314
DAWWIJ,-36.04414,-68.12564,-18.88942,-32.0815
GOVHOQ,-34.3387,-66.44528,-18.66788,-32.10658
DIBJEF,-47.68544,-79.80038,-30.71882,-32.11076
KIVVOC,-51.93232,-84.05144,-25.0591,-32.11912
TUKCUZ,-44.4752,-76.5985,-22.53856,-32.1233
DANFUW,-40.546,-72.67348,-21.15498,-32.1233
LOSYAV,-62.2611,-94.41366,-41.06014,-32.14838
QOKKAE,-59.65696,-91.82624,-33.97504,-32.16928
TIKXER,-32.01462,-64.20062,-10.11978,-32.19018
VAPFOJ,-49.98026,-82.1788,-22.18744,-32.19436
VALVIQ,-37.51132,-69.71404,-17.05858,-32.20272
LIRNEH,-52.6053,-84.82474,-22.6556,-32.21944
XUGHAK,-32.50786,-64.75238,-16.01776,-32.2487
CODFEH,-39.07464,-71.34424,-18.85598,-32.2696
MOGYAI,-33.4609,-65.7305,-18.50486,-32.2696
DALVAQ,-44.94754,-77.24222,-21.77362,-32.29468
CECVIQ,-65.03662,-97.34384,-21.8405,-32.3114
MUVYEJ,-41.39872,-73.7143,-22.14982,-32.31558
NOPJUZ,-41.41962,-73.76446,-20.44856,-32.34484
YUKJUL,-60.26306,-92.6497,-33.6908,-32.38664
XUBJAF02,-66.0231,-98.41392,-53.38278,-32.39082
KEHGOV,-39.18332,-71.66192,-15.25282,-32.4786
HAYTEI,-66.86746,-99.35024,-25.02566,-32.4786
VUNCAJ,-47.89444,-80.3814,-22.1331,-32.48696
WOGLAG,-70.14458,-102.63154,-29.24328,-32.49114
ESOROV,-42.7614,-75.2609,-26.09992,-32.49532
XEKCAT01,-42.84918,-75.36122,-20.67846,-32.51204
YAPYUK,-42.93696,-75.47826,-25.43112,-32.5413
KOMJIH,-38.57304,-71.11852,-16.64058,-32.54548
ELUJEC,-83.2447,-115.79436,-35.14544,-32.55384
SOXZIP,-59.76982,-92.39054,-23.9096,-32.61654
LAGNUE,-48.50054,-81.12962,-24.29834,-32.6249
EKIJAL,-32.84226,-65.55912,-15.4033,-32.71686
JADBEY,-46.51922,-79.2528,-22.2167,-32.73358
GIQZIQ,-60.51386,-93.29342,-32.2069,-32.77956
IYAZAL,-55.52294,-88.31086,-24.74142,-32.78792
CEHWOD,-31.78472,-64.6019,-15.04382,-32.813
OSUPUP,-40.7759,-73.60562,-22.41734,-32.82972
OCACUR,-51.05452,-83.90096,-32.87152,-32.84644
HUSJUC,-39.50518,-72.35162,-22.66396,-32.84644
POLNAG,-36.63352,-69.48832,-27.17418,-32.85062
CAJLEH,-46.33948,-79.19846,-27.5044,-32.85898
YOVPEG,-40.6714,-73.55128,-22.12474,-32.87988
FELVUP,-42.86172,-75.74578,-16.8663,-32.88406
XIMPOA,-42.9077,-75.80012,-23.01926,-32.88824
EVOMOR01,-37.96276,-70.8719,-23.39546,-32.90914
RIWSUM,-39.24602,-72.16352,-19.11932,-32.9175
WOPWOO,-39.50936,-72.56062,-17.52674,-33.05126
GAZLAW,-40.7968,-73.85642,-21.6106,-33.05544
ONODOM,-44.75108,-77.94028,-23.39128,-33.18502
HABRIN,-49.49956,-82.68876,-27.27032,-33.19338
ZOBYOG,-51.67734,-84.88744,-25.30572,-33.2101
XOHLEM,-50.08894,-83.31158,-25.53562,-33.22264
FELWIE,-41.33184,-74.55866,-16.93736,-33.22682
QAWREM,-47.13368,-80.36886,-25.8324,-33.23518
FELWEA,-42.96622,-76.21812,-16.39814,-33.2519
OHOMIH,-37.7245,-71.01402,-22.60544,-33.28952
EBANAY,-62.14824,-95.46284,-43.0122,-33.31042
DITTEH,-41.10194,-74.41654,-18.4547,-33.3146
PAMVEG,-31.90594,-65.2289,-20.96688,-33.32296
UDIQII,-38.09234,-71.44038,-16.04284,-33.34386
WOWHEV,-54.2355,-87.57936,-29.73234,-33.34386
PAFMUH,-40.80098,-74.1532,-23.59192,-33.35222
RIFQUT,-39.7727,-73.14164,-23.65462,-33.36476
NIKCOB,-38.21774,-71.58668,-14.50042,-33.36894
QADWEA,-49.79634,-83.18618,-27.64234,-33.38566
GAGXAP,-46.63626,-80.047,-25.43112,-33.41074
UBECEM,-52.2082,-85.62312,-23.25334,-33.41492
NUCYAN,-38.90326,-72.34326,-18.93122,-33.44
WIVRAW02,-29.1764,-62.64148,-13.48886,-33.46508
KIBDEF,-45.94238,-79.42418,-27.00698,-33.4818
YUBGIN,-61.11578,-94.66446,-51.55194,-33.55286
IYAFIX,-81.26338,-114.81624,-35.8853,-33.55286
CECVOW,-65.68452,-99.26246,-21.6733,-33.57794
NURMUJ,-47.27162,-80.87882,-22.60962,-33.6072
IBAPEJ,-58.52418,-92.20244,-20.91672,-33.68244
KEVFUO,-11.95898,-45.64142,5.58448,-33.68244
ZEDLOL,-45.38644,-79.07724,-21.13826,-33.6908
CUWVUN,-34.26346,-67.97934,-26.5012,-33.71588
IFAQUC,-45.48258,-79.21936,-22.72248,-33.73678
CAHNEF,-46.33112,-80.07626,-26.47194,-33.74514
CISMAT01,-71.43202,-105.1897,-28.2359,-33.75768
XAFXOT,-48.1118,-81.87366,-24.31924,-33.76186
BOTLED,-36.21134,-69.97738,-23.35784,-33.77022
HEZSEK,-58.6872,-92.4616,-32.79628,-33.7744
ZUHSEC,-40.44986,-74.22844,-21.49774,-33.77858
MAZJEC,-84.7913,-118.57824,-75.93806,-33.78694
RONSIY,-37.87498,-71.6661,-22.6556,-33.79112
ZETMES,-47.94042,-81.73154,-21.2971,-33.7953
FAFDEX,-30.23394,-64.04178,-18.58846,-33.80784
NACYUM,-44.308,-78.18272,-24.46554,-33.87472
CUKXUC,-41.77074,-75.69144,-23.58356,-33.9207
VIWHUG,-45.2694,-79.1901,-23.85944,-33.9207
IPIHIA,-46.21408,-80.24346,-22.97328,-34.02938
DESJOB,-18.00326,-52.03264,-5.12468,-34.02938
OWUWUA,-39.76016,-73.80626,-21.14662,-34.0461
HABZEQ,-44.27874,-78.42098,-23.08614,-34.14224
GUHGOH,-58.46148,-92.61626,-25.48964,-34.15478
WUDJAI,-53.24902,-87.4247,-28.66226,-34.17568
SEHTEF,-48.18286,-82.37944,-23.98902,-34.19658
POXHOA,-30.40532,-64.60608,-24.4739,-34.20076
IJANAJ,-39.42576,-73.6307,-19.8132,-34.20494
RUYNIK,-42.06334,-76.26828,-21.01286,-34.20494
TUCJAD,-36.5541,-70.82174,-17.74828,-34.26764
TIXVON,-41.64116,-75.9506,-21.80288,-34.30944
HUDWUA,-40.04022,-74.37474,-19.92188,-34.33452
QAHMUJ,-50.79118,-85.1466,-25.59414,-34.35542
OPURIB,-42.25562,-76.61104,-27.13656,-34.35542
KULZEY,-42.78648,-77.17116,-24.453,-34.38468
SOKWAS01,-53.68792,-88.11858,-20.46946,-34.42648
DIYTEM,-44.5797,-79.0229,-23.06942,-34.4432
EXIBUI,-50.46514,-84.95432,-29.52334,-34.49336
UTOTUT01,-36.25732,-70.78412,-21.47684,-34.5268
FOGFAK,-37.01808,-71.5407,-26.1877,-34.5268
UJECUI,-36.7213,-71.269,-19.33668,-34.5477
DUXSUM,-38.0171,-72.6275,-16.92064,-34.6104
HAPPAS,-35.89366,-70.52496,-18.33348,-34.6313
ARUYES,-50.6825,-85.35978,-23.49996,-34.67728
TEQVAO,-47.56422,-82.24568,-27.4835,-34.68146
QITZIE,-40.74664,-75.43228,-19.18202,-34.68564
GAWMAU,-35.36698,-70.05262,-23.13212,-34.68564
AGUWUV,-42.1344,-76.83258,-27.07804,-34.694
LADWAR,-41.51994,-76.2223,-26.55554,-34.69818
XUJCUB,34.55188,-0.16302,49.62914,-34.7149
FOBCIK,-41.97974,-76.70718,-21.83214,-34.72744
GEHSAN,-45.98418,-80.71162,-18.6846,-34.73162
XUMVOS,-59.42288,-94.1545,-42.63182,-34.73162
COMGUH,-43.0958,-77.89012,-21.47684,-34.79432
ROMQAN,-39.04956,-73.85224,-22.40062,-34.80268
VAYFUY,-39.19586,-74.02362,-22.18744,-34.82776
POXHUG,-29.50662,-64.37618,-22.42988,-34.86956
QALNIA,-50.11402,-85.02538,-20.78714,-34.91136
BEXSOO,-43.67682,-78.62998,-22.49258,-34.95316
QIRBUQ,-48.18704,-83.14438,-24.453,-34.95734
WOWBER,-41.85016,-76.82422,-23.50414,-34.97406
ICIZAV,-33.51942,-68.56036,-17.53092,-35.04094
CILDAD,-34.68982,-69.73494,-10.51688,-35.04512
CUGFOB,-48.66356,-83.73794,-23.20318,-35.07438
IQUNAJ01,-65.45044,-100.60842,-43.62666,-35.15798
XUGWUS,-39.53444,-74.7593,-20.14342,-35.22486
POHMAC,-86.96908,-122.2232,-58.90874,-35.25412
KABXOC,-39.53862,-74.8011,-17.11292,-35.26248
PEWFII,-70.81338,-106.08004,-32.58728,-35.26248
GIFFAE,-77.71038,-112.99794,-31.0156,-35.28756
PUSRUR,-36.15282,-71.4571,-20.691,-35.30428
TIQGUW,-39.64312,-74.95576,-24.96296,-35.31264
FAFJIH,-47.33014,-82.6595,-28.07288,-35.32936
ELUJAY,-80.61966,-115.94902,-34.45574,-35.32936
MOQSIV,-34.59368,-69.9314,-22.03278,-35.33772
IMACZN01,-38.6441,-73.99436,-21.0881,-35.35026
HUTZEB,-54.01396,-89.37258,-26.86068,-35.35862
RUBHUS,-29.80758,-65.24562,-19.9386,-35.43804
BEKZEX,-30.5976,-66.04818,-17.30102,-35.45058
HOZXEB,-37.5991,-73.05804,-19.0399,-35.46312
YEMLOS,-35.07438,-70.5375,-42.81156,-35.46312
KUQWIE,-52.15804,-87.62534,-26.9401,-35.4673
QUVDUH,-60.17528,-95.6593,-26.96936,-35.48402
YOFMIQ,-40.92638,-76.4313,-17.89876,-35.50492
GAWBEM,-41.18554,-76.69046,-19.4997,-35.50492
YACHUH,-36.92612,-72.43522,-20.28972,-35.5091
FUWYAY,-41.86688,-77.40106,-24.06008,-35.53
MAPFIS,-44.54208,-80.07626,-22.14146,-35.53418
MITGIF,-40.9222,-76.46892,-22.93566,-35.5509
YORZAH,-63.61124,-99.18722,-29.6989,-35.57598
COSWEO,-49.0941,-84.67844,-23.73404,-35.58016
XIZJIA,-27.68414,-63.33954,-19.20292,-35.65958
FIZYAQ,-42.91188,-78.584,-21.55626,-35.66794
LIGHAM,-45.6247,-81.30936,-22.99,-35.68466
PASMUT,-45.9591,-81.66048,-21.945,-35.70556
WOWMAY,-32.2069,-67.92918,-13.6059,-35.72228
GOXGAD,-45.33628,-81.12544,-24.40702,-35.78916
RIPTAM,-66.71698,-102.5145,-24.97132,-35.79752
OCUPUY,-80.93316,-116.78084,-60.2129,-35.84768
SUSMIE01,-36.85506,-72.76962,-20.26882,-35.91456
UZAMUE,-44.09064,-80.07626,-21.98262,-35.98562
DOHNUL,-33.72424,-69.79346,-18.48814,-36.06922
QOHYET,-40.42896,-76.52326,-20.95016,-36.0943
VUKTAY,-51.13394,-87.24078,-25.37678,-36.10684
YIVWIL,-35.33772,-71.44874,-21.13408,-36.11102
DIMKIV,-49.82978,-86.02858,-22.13728,-36.1988
FULQUZ,-43.96942,-80.19748,-21.4852,-36.22806
TONMEQ,-54.6535,-90.90246,-27.82208,-36.24896
UVEWIC01,-33.46508,-69.72658,-15.86728,-36.2615
MAPFOY,-58.64958,-94.91944,-29.77832,-36.26986
AKUKUO,-52.58858,-88.87934,-26.84396,-36.29076
CUFGOB,-116.97312,-153.26806,-31.66768,-36.29494
ZUMNAY,-56.2628,-92.59536,-23.0945,-36.33256
PIZNOB,-49.8047,-86.15398,-32.3323,-36.34928
UJEDIX,-51.8111,-88.2398,-24.80412,-36.42452
EBAVIP,-48.2581,-84.7495,-24.32342,-36.48722
NATZOA,-34.40976,-70.9137,-13.97792,-36.50394
UVEWIC,-36.1152,-72.62332,-15.80876,-36.50812
VOQWUV,-46.97484,-83.49132,-28.09796,-36.51648
MODJOG,-55.7194,-92.28604,-21.05884,-36.56664
ILIQEB,-31.0156,-67.60732,-24.83756,-36.5959
JUSHIQ,-41.80836,-78.40426,-22.74338,-36.5959
KOMJON,-39.82286,-76.44384,-17.01678,-36.62098
HOWROC,-65.14112,-101.8248,-27.7552,-36.68368
GONTAG,-40.87204,-77.58916,-20.86656,-36.71712
LULXEW,-44.65494,-81.37206,-25.39768,-36.71712
MIMDAP,-32.27378,-69.0118,-23.49996,-36.73384
FONKEA,-37.52386,-74.34548,-18.8727,-36.82162
FOLLEZ,-50.4526,-87.29094,-26.2295,-36.83834
TAGSEB,-48.46292,-85.35978,-21.945,-36.89686
CATART03,-39.4383,-76.35188,-18.35856,-36.91358
RETBEZ,-36.65442,-73.568,-20.96688,-36.91358
WODRAK,-90.77288,-127.69064,-36.29076,-36.91776
MIVPIR,-32.00208,-68.94492,-13.99464,-36.93866
PEXTUI,-37.35666,-74.30368,-18.88942,-36.9512
DAGDUL,-45.67486,-82.64278,-24.0559,-36.96792
RUCGOM,-55.61072,-92.59118,-24.54078,-36.98046
COXQUB,-55.38918,-92.40726,-36.27822,-37.0139
CUFGUH,-110.81598,-147.89676,-29.2809,-37.08078
KOLTUC,-39.13734,-76.23484,-17.30938,-37.0975
OSUPID,-37.59074,-74.7175,-20.61576,-37.12676
KINQAB,-40.66304,-77.80652,-20.273,-37.14348
FAQGIP,-42.51896,-79.67498,-21.318,-37.15602
AVIMOI,-40.01514,-77.22132,-21.90738,-37.21036
EMOFIX,-37.97948,-75.20238,-27.13238,-37.22708
EVUBAY,-43.04982,-80.28108,-22.5929,-37.23126
FEYQUW,-46.19736,-83.46624,-21.71092,-37.26888
BEKYUM,-30.4931,-67.76616,-18.23734,-37.26888
NASHAS,-80.45664,-117.80076,-40.35372,-37.33994
OCUMIL,-48.25392,-85.67746,-23.70896,-37.42354
RASKON,-50.77864,-88.2816,-24.6829,-37.50296
DUKNII,-43.26718,-80.7785,-24.37358,-37.51132
ZIZTOT,-76.85766,-114.36898,-58.83768,-37.51132
SIPWUK,-54.18952,-91.71338,-25.04238,-37.52386
ISIMAZ,-23.82182,-61.3624,-1.07426,-37.5364
IQABEJ,-45.1649,-82.73474,-26.38834,-37.56984
COYTEQ,-56.96086,-94.56832,-33.65736,-37.60746
NUCYIV,-45.74174,-83.35338,-23.36202,-37.61582
KOMJED,-41.11866,-78.73448,-16.88302,-37.61582
PUFXIZ,-38.7695,-76.39786,-20.41512,-37.62836
GUJVOX,-57.72162,-95.41686,-28.13976,-37.69524
PIKBUH,-38.90744,-76.61104,-19.59166,-37.70778
MAJHUC,-40.2325,-77.95282,-21.109,-37.72032
MONFAY,-41.18554,-78.94766,-19.96368,-37.76212
VAZMOA,-58.4782,-96.26958,-54.99626,-37.79556
TEQVOC,-42.1762,-79.97594,-25.7697,-37.80392
NACYOG,-42.87008,-80.69072,-23.02762,-37.82482
SEYDUW,-67.20604,-105.05594,-31.8725,-37.84572
FUZKAN,-47.03336,-84.8958,-21.94082,-37.86244
SOCWOX,-49.24458,-87.16554,-26.1668,-37.92096
KINPUU,-39.20004,-77.15444,-18.85598,-37.9544
KUJMEJ,-48.28736,-86.30028,-21.13408,-38.01292
MUZWAH,-67.7578,-105.7958,-30.64358,-38.038
LOZSOK,-42.35594,-80.41066,-22.61798,-38.05472
YIRHOY,-47.08352,-85.1675,-20.59068,-38.08398
XOKHIP,-38.26372,-76.3477,-21.75272,-38.08398
CUGFAN01,-47.234,-85.38486,-21.41832,-38.14668
FAKGOP,-41.44888,-79.61228,-19.31996,-38.16758
RUTBUE,-36.12356,-74.2995,-20.63248,-38.18012
EQUBUO,-52.10788,-90.34652,-24.09352,-38.24282
XOVXEM,-45.39062,-83.67524,-25.36842,-38.28462
WUDNAK,-36.12356,-74.41236,-16.48592,-38.2888
TAPXIT01,-47.53078,-85.93244,-22.13728,-38.40166
DIZQOT,-47.40538,-85.81122,-20.73698,-38.40584
EMEGEJ,-46.49414,-84.98358,-25.1009,-38.48526
LEGGEK,-50.05132,-88.58674,-27.17418,-38.53542
HORCUN,-82.01578,-120.63898,-23.55848,-38.6232
GOQTIR,-39.09136,-77.78144,-24.44464,-38.6859
ANENEN,-43.14596,-81.85694,-25.69446,-38.71098
QUSCAJ,-47.62692,-86.36716,-23.55012,-38.74024
IREKUN,-39.81868,-78.6258,-21.13826,-38.80712
AHOKIR,-53.40368,-92.24006,-22.41734,-38.83638
TAPKAY,-51.7693,-90.60986,-23.8469,-38.84056
LAGPAM,-65.86844,-104.71318,-40.4206,-38.84474
DOWGIH,-48.1954,-87.05686,-20.87492,-38.86146
XEDLUN01,-60.96112,-99.83094,-34.72744,-38.86982
OQUXAB,-44.17424,-83.08586,-19.2907,-38.91162
XOVXAI,-43.16268,-82.11192,-25.4562,-38.94924
CABDER,-39.36306,-78.31648,-24.81248,-38.95342
PEKWAF,-42.81992,-81.81514,-24.3903,-38.99522
TACJIS,-44.33726,-83.37846,-25.02984,-39.0412
XADFEP,-38.5814,-77.6435,-22.28776,-39.0621
TUFTAR,-42.1135,-81.23412,-18.45052,-39.12062
AQALIO,-51.38056,-90.5388,-20.94598,-39.15824
LUKRIS,-42.43536,-81.59778,-19.68362,-39.16242
KOMVIT,-46.63208,-85.8154,-26.17516,-39.1875
DUKNEE,-38.88236,-78.13674,-22.6974,-39.2502
MUHQAI,-14.70524,-53.98052,-0.90288,-39.27528
DUXSIA,-41.4865,-80.77014,-20.04728,-39.28364
WAKSOT,-51.12558,-90.42176,-30.27992,-39.292
GUJVIR,-55.26796,-94.6561,-30.78988,-39.38396
FASJAL,-52.3127,-91.7301,-19.90098,-39.4174
ZALMIL,-45.0186,-84.55722,-20.29808,-39.53862
ISIKIF,-42.4061,-81.95308,-19.92188,-39.54698
TEDXOR,-51.20918,-90.76452,-24.15204,-39.55534
NIMVEL,-29.85774,-69.45906,-11.61204,-39.60132
AQALOU,-59.63606,-99.275,-21.05466,-39.63476
QISKIN,-40.64632,-80.28526,-23.72568,-39.63894
TORKAO,-38.61484,-78.28304,-18.43798,-39.6682
VAXHOR01,-40.96818,-80.6322,-14.87244,-39.6682
HUNFIH,-51.30114,-90.97352,-24.65364,-39.67238
MAKRIC,-44.93082,-84.68262,-23.65044,-39.7518
BELYIC,-53.54998,-93.40628,-28.35712,-39.8563
EHAFEA,-68.14236,-108.08226,-51.25934,-39.93572
OSUVOP,-80.69072,-120.68496,-35.948,-39.99424
FIHXUR,-41.98392,-82.03668,-14.13676,-40.05276
CODJUC,-35.50074,-75.60784,-21.84468,-40.1071
QUHMOX,-87.15718,-127.26846,-28.43236,-40.11128
ZAVMIU,-46.99992,-87.13628,-21.89484,-40.13636
CUYVOI,-40.87622,-81.04184,-23.80092,-40.16562
HOGSIG,-35.63032,-75.8043,-16.92482,-40.17816
DIBPAH,-39.45084,-79.65408,-20.82894,-40.20324
USATAL,-49.79216,-90.02048,-21.8405,-40.22832
BONWAD,-45.23596,-85.49354,-20.25628,-40.25758
NOPJUZ01,-39.43412,-79.70424,-28.06034,-40.27012
JUJZIZ,-39.88138,-80.24764,-17.138,-40.36626
YAVVUP,-71.88346,-112.26226,-34.4223,-40.3788
ROQRAS,-78.62998,-119.07566,-36.82162,-40.44568
PASNAA,-44.18678,-84.64918,-21.49774,-40.45822
FONPUV,-33.03872,-73.50948,-16.0721,-40.47076
WAVWEW,-49.77962,-90.25038,-24.99222,-40.47076
QIQVIX,-53.22812,-93.7156,-36.44542,-40.4833
WEDXAG,-45.94238,-86.61378,-22.93566,-40.6714
SOPPOD,-68.5311,-109.2025,-45.07712,-40.6714
DUQCAU,-89.20956,-129.88514,-44.21604,-40.67558
AZAWAB,-42.9495,-83.67106,-20.6074,-40.71738
WEMNEJ,-46.90796,-87.63788,-22.9482,-40.72992
SAXFII,-33.36894,-74.10722,-13.53484,-40.73828
WOXKOL,-42.21382,-82.98972,-29.45228,-40.7759
TALLAW,-41.2148,-82.00324,-19.4161,-40.78844
QAVZAQ,-74.69242,-115.49758,-32.2069,-40.80516
WEMNAF,-37.98784,-78.83062,-21.736,-40.84278
JEMQEY,-34.8194,-75.6789,-26.93174,-40.8595
TUWPIL,-41.27332,-82.137,-19.92606,-40.86368
FOKZIQ,-51.02944,-91.94328,-26.31728,-40.91384
OMAWOP,-35.89366,-76.84094,-19.42864,-40.94728
DITSIK,-48.4253,-89.51888,-23.4289,-41.09358
GUJTOV,-40.56272,-81.66048,-19.88426,-41.09776
JUSBAC,-45.90476,-87.01924,-22.37554,-41.11448
OPURIB01,-33.92488,-75.04772,-20.68264,-41.11866
EMICUZ,-38.48944,-79.61228,-24.27326,-41.12284
POKTIU,-60.2756,-101.41098,-22.0286,-41.13538
JEXSOV,-57.38304,-98.56858,-48.81404,-41.18554
MEJZEI,-54.50302,-95.7429,-27.74684,-41.24406
TECTUS,-54.36508,-95.722,-43.48454,-41.35692
EWUFAF,-40.90548,-82.27076,-21.03376,-41.36528
JUSHAI,-42.18874,-83.57492,-22.31284,-41.38618
HEZKIH,-47.7565,-89.14268,-23.84272,-41.38618
OROJEM,-43.1376,-84.53214,-26.61824,-41.39454
YAVSOG,-64.10866,-105.54082,-29.08444,-41.43216
QUFTAM,-44.2035,-85.66074,-23.54594,-41.45724
RUGHUY,-61.9685,-103.44246,-22.94402,-41.47396
EQUBIC,-54.41524,-95.9937,-24.46136,-41.57846
HOXSIY,-56.49688,-98.09624,-24.65364,-41.59936
VIDWIQ,-58.2065,-99.82676,-22.9273,-41.62026
YOMHAK,-38.7904,-80.43992,-12.59016,-41.64952
TAPHOJ,-33.10142,-74.7593,-25.51472,-41.66206
EJONOH,-37.9126,-79.58302,-26.93592,-41.67042
MUTCEL,-38.09652,-79.78784,-21.05884,-41.69132
KIVSUF,-25.00058,-66.76296,-15.28626,-41.76238
IROVES,-50.42752,-92.24842,-21.47684,-41.8209
YAVVOJ,-73.41334,-115.24678,-34.36378,-41.83344
WATPIT,-36.71294,-78.6049,-19.40774,-41.89196
NASMEB,-40.75082,-82.66786,-21.95754,-41.91704
QUKYOL,-85.34724,-127.26846,-68.03368,-41.9254
VUKTIG,-52.11624,-94.05418,-25.81986,-41.93794
NORGOS,-50.3272,-92.30694,-24.28162,-41.98392
OFUDUQ,-32.8548,-74.83454,-18.59682,-41.98392
GARLAP,-47.12532,-89.13432,-22.32538,-42.009
NIRDEX,-75.09788,-117.13614,-45.05622,-42.03826
GEPDEM,-49.93428,-91.99344,-32.00626,-42.05916
POKVES,-73.36318,-115.43488,-29.82012,-42.0717
YICGOI,-40.6296,-82.70966,-23.88452,-42.08006
ZEDQEG,-64.63534,-106.77392,-25.5189,-42.13858
INESIE,-40.63378,-82.77654,-23.08614,-42.14276
FAFCEW,-50.92076,-93.07606,-19.61674,-42.15948
UYOFIY,-57.72998,-99.96052,-22.54274,-42.23472
